id;internalStoreCode;typeStore;name;city;state;address;active;aliases;operation;createdAt;updatedAt;cases
1;1001;Peruzzo;Peruzzo Bento;Bagé;RS;Rua Bento Gonçalves, 369-D - Centro;VERDADEIRO;{["Bento"]};SEGUNDA A SÁBADO: das 8h às 22h. DOMINGO: das 8h às 21h. Sem fechar ao meio-dia;2026-05-05 15:00:00;2026-05-05 15:00:00;
2;1002;Peruzzo;Peruzzo Tupy II;Bagé;RS;Av. Tupy Silveira, 1501 - Centro;VERDADEIRO;{["Tupy"]};SEGUNDA A SÁBADO: das 8h às 22h. DOMINGO: 08:00 às 13:00 e das 15:30 às 20:30;2026-05-05 15:00:00;2026-05-05 15:00:00;
3;1003;CD;CD Portugal;Bagé;RS;Av. Portugal, 662 - Castro Alves;VERDADEIRO;{["CD Bagé"]};null;2026-05-05 15:00:00;2026-05-05 15:00:00;
4;1004;Peruzzo;Peruzzo Santa Tecla;Bagé;RS;Av. Santa Tecla, 1199 - Getúlio Vargas;VERDADEIRO;{["Santa Tecla"]};SEGUNDA A SÁBADO: das 8h às 22h. DOMINGO: das 8h às 21h. Sem fechar ao meio-dia;2026-05-05 15:00:00;2026-05-05 15:00:00;
5;1005;Peruzzo;Peruzzo Candiota;Candiota;RS;Rua Francisco Assis do Pinto, 290 - Dario Lassance;VERDADEIRO;{["Candiota"]};SEGUNDA A SÁBADO: 8h às 20h. DOMINGO: 8h às 12h30 e 15h30 às 20h.;2026-05-05 15:00:00;2026-05-05 15:00:00;
6;1006;Peruzzo;Peruzzo Osório;Bagé;RS;Av. General Osório, 665 - Centro;VERDADEIRO;{["Osório"]};SEGUNDA A SÁBADO: das 8h às 22h. DOMINGO: das 8h às 21h. Sem fechar ao meio-dia;2026-05-05 15:00:00;2026-05-05 15:00:00;
7;1007;Peruzzo;Peruzzo 7 de Setembro;Dom Pedrito;RS;Rua 7 de Setembro, 1143 - Centro;VERDADEIRO;{["7 de Setembro", "Sete de Setembro"]};SEGUNDA A SÁBADO: das 8h às 21h. DOMINGO: Não abre;2026-05-05 15:00:00;2026-05-05 15:00:00;
8;1008;Peruzzo;Peruzzo Espanha;Bagé;RS;Av. Espanha, 1010 - Popular;VERDADEIRO;{["Espanha"]};SEGUNDA A SÁBADO: das 8h às 22h. DOMINGO: das 8h às 21h. Sem fechar ao meio-dia;2026-05-05 15:00:00;2026-05-05 15:00:00;
9;1009;Peruzzo;Peruzzo Pelotas Praça;Pelotas;RS;Rua Praça 20 de Setembro, 849 - Centro;VERDADEIRO;{["Praça", "Praça 20"]};SEGUNDA A SÁBADO: das 8h às 21h. DOMINGO: 8h30 às 20h.;2026-05-05 15:00:00;2026-05-05 15:00:00;
10;1010;Peruzzo;Peruzzo Caçapava;Caçapava do Sul;RS;Rua 15 de Novembro, 666 - Centro;VERDADEIRO;{["Caçapava"]};SEGUNDA A SÁBADO: das 8h às 20:30h. DOMINGO: Não abre.;2026-05-05 15:00:00;2026-05-05 15:00:00;
